"","X","observed","chao1","simpson","shannon","bleach","geno","rep","bleach.geno","geno.bleach","type","geno.num","bleach.status","diseaseAug","diseaseSep","bleach.type","observeda","chao1a","simpsona","shannona"
"28","Acropora.cervicornis.Aug5B",53,53,0.900677968662782,2.54250012617479,"Aug","G5","B","AugG5","G5Aug","susceptible",5,"PreBleach",0.142857143,1,"Augsusceptible",37,37,0.964467784488779,3.45534854964899
"29","Acropora.cervicornis.Aug7A",125,125,0.982901418165857,4.42784361722839,"Aug","G7","A","AugG7","G7Aug","resistant",7,"PreBleach",0.285714286,0,"Augresistant",100,103.882352941176,0.977276921555108,4.14340943062295
"30","Acropora.cervicornis.Aug7B",122,122,0.98852182673632,4.63426646884261,"Aug","G7","B","AugG7","G7Aug","resistant",7,"PreBleach",0.285714286,0,"Augresistant",90,90,0.984363581066217,4.30762954965862
"31","Acropora.cervicornis.Aug9A",82,82.6,0.899288316720825,2.65589327497901,"Aug","G9","A","AugG9","G9Aug","susceptible",9,"PreBleach",0.571428571,1,"Augsusceptible",56,56,0.975865495202479,3.86779815047056
"32","Acropora.cervicornis.Aug9B",70,70,0.911964383549852,2.85874576164333,"Aug","G9","B","AugG9","G9Aug","susceptible",9,"PreBleach",0.571428571,1,"Augsusceptible",51,52,0.97045305900087,3.7242679234507
"33","Acropora.cervicornis.Sep10A",130,130,0.986210999053147,4.55803500808023,"Sep","G10","A","SepG10","G10Sep","susceptible",10,"Bleached",0.8,0.8,"Sepsusceptible",85,85.75,0.978561378591497,4.10607781974026
"34","Acropora.cervicornis.Sep10B",257,260,0.987258734523433,4.90870666726771,"Sep","G10","B","SepG10","G10Sep","susceptible",10,"Bleached",0.8,0.8,"Sepsusceptible",166,190.146341463415,0.983191329472088,4.5425236977677
"35","Acropora.cervicornis.Sep13A",183,183,0.978893826660794,4.5562351127413,"Sep","G13","A","SepG13","G13Sep","susceptible",13,"Bleached",0.285714286,0.8,"Sepsusceptible",125,130.884615384615,0.975345806838331,4.22911303003537
"36","Acropora.cervicornis.Sep13B",180,180,0.98065777453764,4.51384926796187,"Sep","G13","B","SepG13","G13Sep","susceptible",13,"Bleached",0.285714286,0.8,"Sepsusceptible",124,133.5625,0.9802326491262,4.3664545023214
"37","Acropora.cervicornis.Sep1A",214,214,0.991554036880262,5.10147604056397,"Sep","G1","A","SepG1","G1Sep","susceptible",1,"Bleached",0,0.8,"Sepsusceptible",152,154.444444444444,0.987455136277939,4.72180350214214
"38","Acropora.cervicornis.Sep1B",112,112,0.972330309593373,4.09056407296989,"Sep","G1","B","SepG1","G1Sep","susceptible",1,"Bleached",0,0.8,"Sepsusceptible",84,86.5454545454545,0.960989415778743,3.80297990724892
"39","Acropora.cervicornis.Sep3A",134,134,0.98935713693804,4.72486944954723,"Sep","G3","A","SepG3","G3Sep","resistant",3,"Bleached",0,0,"Sepresistant",100,100,0.984549605878384,4.37958359840463
"40","Acropora.cervicornis.Sep3B",126,126,0.979316891663739,4.40294261386036,"Sep","G3","B","SepG3","G3Sep","resistant",3,"Bleached",0,0,"Sepresistant",98,100.333333333333,0.97073947815611,4.05451237143221
"41","Acropora.cervicornis.Sep41A",217,217,0.988211730082823,4.92842730606996,"Sep","G41","A","SepG41","G41Sep","susceptible",41,"Bleached",0,0.8,"Sepsusceptible",133,141.555555555556,0.981319270251237,4.3970882714485
"42","Acropora.cervicornis.Sep41B",215,215.2,0.972192077267686,4.32684641110816,"Sep","G41","B","SepG41","G41Sep","susceptible",41,"Bleached",0,0.8,"Sepsusceptible",137,186.038461538462,0.968211902930481,4.0237198443802
"43","Acropora.cervicornis.Sep44A",141,141,0.967152367054021,3.92234588722881,"Sep","G44","A","SepG44","G44Sep","susceptible",44,"Bleached",0,0.8,"Sepsusceptible",105,118.125,0.977058416220183,4.1826937905909
"44","Acropora.cervicornis.Sep44B",267,267,0.983404832207156,4.82563067965055,"Sep","G44","B","SepG44","G44Sep","susceptible",44,"Bleached",0,0.8,"Sepsusceptible",158,180,0.974442257750665,4.3270121192358
"45","Acropora.cervicornis.Sep46A",232,232,0.982667726385647,4.72256492089312,"Sep","G46","A","SepG46","G46Sep","susceptible",46,"Bleached",0.714285714,1,"Sepsusceptible",145,164.833333333333,0.973963908233665,4.26042940667925
"46","Acropora.cervicornis.Sep46B",215,215,0.989070758574472,4.97288595356322,"Sep","G46","B","SepG46","G46Sep","susceptible",46,"Bleached",0.714285714,1,"Sepsusceptible",145,153.25,0.983380307059051,4.53132903543147
"47","Acropora.cervicornis.Sep47A",207,207,0.983432574611444,4.61364585161653,"Sep","G47","A","SepG47","G47Sep","susceptible",47,"Bleached",0.2,1,"Sepsusceptible",136,145.035714285714,0.980994465023644,4.39501069177512
"48","Acropora.cervicornis.Sep47B",252,252.857142857143,0.983523476956329,4.64966691654046,"Sep","G47","B","SepG47","G47Sep","susceptible",47,"Bleached",0.2,1,"Sepsusceptible",148,164.5,0.980899976230163,4.40975808658305
"49","Acropora.cervicornis.Sep4A",153,153,0.991712416427506,4.90267065619892,"Sep","G4","A","SepG4","G4Sep","susceptible",4,"Bleached",0.285714286,1,"Sepsusceptible",110,110.909090909091,0.987620491666531,4.51881791766901
"50","Acropora.cervicornis.Sep4B",146,146,0.990295901523472,4.81131123745398,"Sep","G4","B","SepG4","G4Sep","susceptible",4,"Bleached",0.285714286,1,"Sepsusceptible",114,114.5,0.98784490255105,4.56335576946903
"51","Acropora.cervicornis.Sep50A",181,181,0.986346646351729,4.68145228724139,"Sep","G50","A","SepG50","G50Sep","susceptible",50,"Bleached",0.2,0.8,"Sepsusceptible",111,117.5,0.976639122199109,4.19335326490351
"52","Acropora.cervicornis.Sep50B",224,224,0.983378822037527,4.71026369279921,"Sep","G50","B","SepG50","G50Sep","susceptible",50,"Bleached",0.2,0.8,"Sepsusceptible",143,159.916666666667,0.976019039491887,4.34297760432086
"53","Acropora.cervicornis.Sep57A",170,170,0.98036667916585,4.41092455388821,"Sep","G57","A","SepG57","G57Sep","susceptible",57,"Bleached",0.2,0.8,"Sepsusceptible",102,103.647058823529,0.966948115317667,3.9540806048151
"54","Acropora.cervicornis.Sep57B",258,258,0.987894437993055,5.06799317995129,"Sep","G57","B","SepG57","G57Sep","susceptible",57,"Bleached",0.2,0.8,"Sepsusceptible",163,177.5,0.981803525317829,4.56849684502544
"55","Acropora.cervicornis.Sep58A",217,217,0.9898573263579,5.00990054909624,"Sep","G58","A","SepG58","G58Sep","susceptible",58,"Bleached",0.4,0.4,"Sepsusceptible",159,168,0.984555511427977,4.6139213134702
"56","Acropora.cervicornis.Sep58B",133,133,0.98915731700783,4.70772255996192,"Sep","G58","B","SepG58","G58Sep","susceptible",58,"Bleached",0.4,0.4,"Sepsusceptible",96,96,0.983607670718366,4.32868843837089
"57","Acropora.cervicornis.Sep5A",161,161,0.981385712840345,4.49135851452016,"Sep","G5","A","SepG5","G5Sep","susceptible",5,"Bleached",0.142857143,1,"Sepsusceptible",104,107,0.981407853495126,4.29060464879625
"58","Acropora.cervicornis.Sep5B",163,163,0.984715947294708,4.66294598598444,"Sep","G5","B","SepG5","G5Sep","susceptible",5,"Bleached",0.142857143,1,"Sepsusceptible",120,125.5,0.984576180851551,4.47704977892069
"59","Acropora.cervicornis.Sep7A",275,275,0.989608204364355,5.11821553688164,"Sep","G7","A","SepG7","G7Sep","resistant",7,"Bleached",0.285714286,0,"Sepresistant",168,185.076923076923,0.982467899646996,4.58008523309221
"60","Acropora.cervicornis.Sep7B",190,190,0.991125242178064,4.99735968064688,"Sep","G7","B","SepG7","G7Sep","resistant",7,"Bleached",0.285714286,0,"Sepresistant",113,113.545454545455,0.985199216333569,4.45910830271748
"61","Acropora.cervicornis.Sep9A",182,182,0.989133758616485,4.83498348235217,"Sep","G9","A","SepG9","G9Sep","susceptible",9,"Bleached",0.571428571,1,"Sepsusceptible",121,125.55,0.982140141644607,4.37544656443302
"62","Acropora.cervicornis.Sep9B",193,193,0.990966756031764,4.99659436654593,"Sep","G9","B","SepG9","G9Sep","susceptible",9,"Bleached",0.571428571,1,"Sepsusceptible",125,127,0.985701188048939,4.5325949318905
