sampleid,bleach,geno,rep,bleach-geno,geno-bleach,type,geno.num,bleach.status,disease,bleach-type
Acropora.cervicornis.Sep50B,Sep,G50,B,SepG50,G50Sep,susceptible,50,Bleached,0.8,Sepsusceptible
Acropora.cervicornis.Sep57A,Sep,G57,A,SepG57,G57Sep,susceptible,57,Bleached,0.8,Sepsusceptible
Acropora.cervicornis.Sep57B,Sep,G57,B,SepG57,G57Sep,susceptible,57,Bleached,0.8,Sepsusceptible
Acropora.cervicornis.Sep58A,Sep,G58,A,SepG58,G58Sep,susceptible,58,Bleached,0.4,Sepsusceptible
Acropora.cervicornis.Sep58B,Sep,G58,B,SepG58,G58Sep,susceptible,58,Bleached,0.4,Sepsusceptible
Acropora.cervicornis.Sep5A,Sep,G5,A,SepG5,G5Sep,susceptible,5,Bleached,1,Sepsusceptible
Acropora.cervicornis.Sep5B,Sep,G5,B,SepG5,G5Sep,susceptible,5,Bleached,1,Sepsusceptible
Acropora.cervicornis.Sep7A,Sep,G7,A,SepG7,G7Sep,resistant,7,Bleached,0,Sepresistant
Acropora.cervicornis.Sep7B,Sep,G7,B,SepG7,G7Sep,resistant,7,Bleached,0,Sepresistant
Acropora.cervicornis.Sep9A,Sep,G9,A,SepG9,G9Sep,susceptible,9,Bleached,1,Sepsusceptible
Acropora.cervicornis.Sep9B,Sep,G9,B,SepG9,G9Sep,susceptible,9,Bleached,1,Sepsusceptible
